Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"Appears to be a system log or error message, likely generated by a scheduling application. The repetitive nature and technical jargon suggest it's not intended for human interaction and lacks phishing characteristics."
17749,1,False,Low,"Email appears to be a legitimate internal communication regarding a business structure update, with clear sender and recipient information, a descriptive subject line, and a professional tone. The presence of 'forwarded by' indicates it's likely a chain of internal correspondence."
11199,1,False,Low,"The email is a call for papers for an academic conference. It contains detailed information about the topic, submission guidelines, and contact information for the organizers, including a verifiable email address and website link. The language and formatting are consistent with academic correspondence."
7660,0,True,High,"The email promotes an illegal product ('Photo-Blocker') with unrealistic guarantees, uses a suspicious domain ('dn-ice-boat.com'), and contains a large block of seemingly random words, likely intended to obfuscate the email's true nature and evade spam filters."
12737,1,False,Low,"This appears to be a technical discussion on a mailing list regarding SpamAssassin configuration. It contains a verifiable signature block with contact details, discusses technical settings, and includes a standard mailing list administrative link. The Rot13 warning is unusual but likely related to a playful or security-conscious practice within the group, not malicious intent."
190,0,True,High,"Classic advance-fee fraud (419 scam). The email claims to be from a relative of a deceased political figure, offering a large sum of money in exchange for assistance and a share of the funds. It uses common scam tropes like diplomatic packages, political asylum, and promises of risk-free profits, while requesting sensitive information (phone/fax numbers)."
11308,1,False,Low,"The email appears to be a legitimate announcement regarding book reviews, containing specific details about the books and a clear contact for inquiries. The provided email address (carnie@linguistlist.org) is associated with a known linguistics organization, and the content aligns with academic communication."
13809,1,True,Medium,"The subject line is cryptic and nonsensical, lacking context or a clear purpose, which is a common tactic used in phishing attempts to pique curiosity or create a sense of urgency. The unusual terminology ('meter 6387', 'deal # 565701') suggests a potential scam."
12409,1,False,Low,"The email appears to be a scholarly discussion or follow-up on a linguistic topic, containing multiple email addresses of academics and references to published papers. The content is technical and lacks any indicators of malicious intent or requests for personal information."
11526,0,True,High,"Extremely short, nonsensical subject line and body text, indicative of a spam or phishing attempt. The abrupt phrasing and lack of context are highly suspicious."
576,1,False,Low,"The email body is empty, which is unusual but doesn't inherently indicate phishing. It's likely an error or incomplete transmission rather than a malicious attempt."
15061,1,True,Medium,"The email discusses financial investments (municipal bonds) and requests a call with potential follow-up actions, which is a common tactic used in business email compromise (BEC) or investment scams. The informal tone and lack of standard disclaimers for financial advice raise suspicion."
17179,0,True,High,"Unsolicited commercial email promising unrealistic weight loss results, using sensational language and a suspicious, generic domain ('baby33.com')."
2638,1,False,Low,"The email is a simple, informal invitation and lacks any phishing indicators such as suspicious links, requests for personal information, or urgent language."
7934,0,True,High,"The email promotes pharmaceuticals (Viagra/Cialis) with hyperbolic claims and unusual capitalization/misspellings ('genierc', 'spuer vagira'). The nonsensical string of words at the end strongly suggests a tactic to evade spam filters and obscure malicious intent."
4126,1,False,Low,"The email body is empty, which is unusual but not inherently indicative of phishing. It's more likely an error or a placeholder."
2372,0,True,High,"The email advertises a large email list for sale, which is often associated with spam and data harvesting. It uses aggressive marketing tactics, requests sensitive financial information (credit card details) via fax, and includes a suspicious Canadian address. The 'removal' email address is a generic Yahoo account, further indicating a lack of legitimacy."
12652,1,False,Low,"Appears to be a legitimate job posting from a university. Contains standard application instructions, contact information (phone and email), and a disclaimer regarding equal opportunity employment. The email address uses a recognizable domain (usc.edu)."
11904,0,True,High,"The email contains numerous grammatical errors, nonsensical phrases, and an unusual combination of marketing language and unrelated text fragments. The URL is suspicious and likely redirects to a malicious site. The sender's email address appears obfuscated and unprofessional."
2270,0,True,High,"The email contains numerous red flags: unusual characters and symbols in the subject and body (e.g., '*', '$', '!', '/'), extremely low pricing for software licenses, grammatical errors and unusual phrasing, a suspicious sender address (@freedomnet.com), a location (Pakistan) inconsistent with likely recipients, and a disclaimer discouraging replies. The offer is too good to be true and aims to lure victims into potentially downloading malware or providing sensitive information."
16883,1,False,Low,"The email appears to be a legitimate announcement for a published academic work (proceedings of a linguistics colloquium). It provides detailed content listings, pricing, and ordering instructions, including a physical mailing address associated with a known university (University of Pennsylvania). The lack of unusual formatting or urgent requests further supports its legitimacy."
4797,1,False,Low,"The email is a signed message using PGP, indicating authenticity. It contains a verifiable signature block with standard contact details and a recognizable quote. The content is a philosophical discussion and does not contain any suspicious links or requests for personal information."
14672,1,False,Low,"The email appears to be an announcement for a historical academic workshop. The URL provided directs to a university website (gla.ac.uk), which is consistent with the stated origin. While the email contains some unusual formatting and archaic language, this is likely due to its age and intended academic audience, rather than malicious intent."
6723,1,True,Medium,"The email lacks context, a proper subject line, and a formal greeting/closing. The vague language ('lunch with it and credit') and unusual request ('coordinate...in my absence') are suspicious, suggesting a potential attempt to impersonate someone or extract information."
4508,1,False,Low,"The email appears to be a legitimate announcement for an academic symposium, containing details about the event, speakers, submission process, and contact information. The language and formatting are consistent with academic communications, and there are no suspicious links or requests for personal information."
11569,0,True,High,"The email exhibits several phishing indicators: overly verbose and promotional language, unusual formatting and grammar, a generic and impersonal tone, a request for detailed contact information, and a claim of participation in an 'inter-governmental program' which is vague and lacks verifiable details. The extensive list of projects, while seemingly impressive, is likely fabricated to appear legitimate. The unusual sender address (avfs@fazekas.hu) and mailing list format further raise suspicion."
12594,1,False,Low,"Legitimate email expressing concern about list topic drift, includes a verifiable signature with contact information and a link to a standard mailing list administration page."
17793,1,False,Low,This appears to be a legitimate email from a public mailing list (Spamassassin-talk) discussing spam and email harvesting techniques. It contains a verifiable PGP signature and a standard mailing list footer with unsubscribe information. The content is technical and lacks any suspicious requests or urgent calls to action.
11259,1,False,Low,"While the email contains technical jargon and references specific companies (NCPH, AIG, ENA), it appears to be a legitimate business communication regarding a coal contract. The language is formal, and the content suggests an internal or external business update, lacking typical phishing indicators like urgent requests or suspicious links."
564,1,False,Low,"This appears to be a legitimate forum post discussing browser performance. The included URL is a Microsoft support page and a standard mailing list administrative link, and the content is conversational and lacks phishing indicators."
13904,0,False,Low,"The email contains a website URL and phone number, which are not inherently malicious. The opt-out instruction is standard practice. While the domain 'sqlcare.com' should be verified against known legitimate entities, the email itself doesn't display obvious phishing indicators."
6771,0,True,High,"Generic subject line, vague description, and urgent call to action ('confirmation needed') are common phishing tactics. Lacks sender verification and specific details."
7884,1,False,Low,"The text is a speculative presentation on future technology and societal implications, not a phishing attempt. It discusses concepts and scenarios, not requests for personal information."
11376,1,False,Low,"This appears to be a legitimate technical discussion thread, with verifiable sender information (Alex Russell) and email addresses. The content is focused on a technical topic (smart card security) and lacks any indicators of malicious intent or requests for sensitive information."
15816,0,True,High,"The email advertises software at significantly discounted prices, a common tactic used in phishing scams. It uses generic greetings, lacks a verifiable sender, and promotes potentially pirated or counterfeit software."
18412,0,True,High,"Offers luxury goods at unrealistically low prices, contains a typo ('repiica'), and uses a suspicious shortened link ('r . emove me') likely masking a malicious destination."
6332,1,False,Low,"The email appears to be a technical notification regarding meter activity and volume reallocation, using internal terminology ('sepo 0', 'beamont methanol', 'brandywine', 'sitara'). While unusual, it lacks typical phishing indicators like urgent requests or suspicious links. The request to call suggests a legitimate need for clarification."
13564,0,True,High,"The email uses sensationalist language ('eat as much as you want!', 'lose 23 pounds in 4 weeks!'), makes unrealistic promises ('guaranteed weight loss for life!'), and includes a high-pressure sales tactic with a toll-free number. The product name 'Slender Now (tm)' is generic and lacks credibility, and the testimonials are vague and lack verifiable details. The excessive use of exclamation points and capitalization are also red flags."
10956,1,False,Low,"The email appears to be a legitimate announcement and order form for conference proceedings from the University of Edinburgh. It provides a website link for more information and details a formal ordering process with payment instructions, including a warning against sending credit card details via email. The language and formatting are consistent with a formal academic publication."
18442,1,False,Low,"Appears to be a legitimate internal communication regarding outage information, containing a verifiable email address and phone number belonging to the California Independent System Operator (CAISO)."
