Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,High,"This email exhibits several strong indicators of phishing. The message is incredibly brief and lacks context, a common tactic used to lower recipient caution. The request to 'open an attachment' is a highly suspicious prompt, particularly when the sender's name is 'term paper stuart.' The brevity and directness, combined with the request for an attachment, strongly suggests a malicious intent to deliver malware. There is no verification of the sender's identity or purpose, further increasing the risk."
437,1,False,Low,"The email appears to be a legitimate academic publication listing and ordering information. It contains details about a book, including ISBN, publisher, price, and a link to the publisher's ordering website. There are no unusual requests, urgent tones, or suspicious links. The link provided directs to a standard Cambridge University Press ordering page. The email presents information in a way consistent with academic publications."
1875,1,True,High,"This email exhibits multiple red flags indicative of a phishing attempt. Firstly, the language is highly informal and uses jargon ('ca for henwood engagement', 'fyi') in a way that suggests a rushed, unprofessional communication. Secondly, there’s a reference to 'Enron policy' – Enron no longer exists and using this reference is a manipulation tactic. Thirdly, the sender demands immediate action ('make every attempt to put a written agreement in place immediately') creating urgency. The request to review and send a document to Henwood before returning to Houston is a common tactic to lure victims into providing sensitive information or clicking malicious links (though none are explicitly present, the implied action is highly suspicious). Finally, the multiple forwardings and the inclusion of multiple recipients without clear justification contribute to the overall feeling of impropriety and potential deception."
10858,0,True,High,"This email exhibits several strong indicators of a phishing attempt. The language is overly promotional and uses hyperbolic claims ('guarantees 36 hours lasting,' 'no side effects at all,' 'harder erections and quick recharge'). The mention of brand names like 'cialis' and 'viagra' is a common tactic. The pricing is extremely low ($3.99 per tab), which is a red flag. The URL `http://gallanted.com/cs/?ronn o-out of mailing list` is suspicious and likely a shortened URL designed to mask the actual destination. The phrasing 'ronn o-out of mailing list' suggests a deceptive attempt to appear legitimate. The use of unusual capitalization and spelling errors ('cllick heree') is also a characteristic of phishing emails. The combination of these factors strongly suggests a fraudulent attempt to promote and sell prescription drugs."
269,1,True,High,"The email contains a snippet of shell script output indicating a problem with a spam trap and a related directory structure. The `/home/yyyy/lib/spamtrap.sh` and `/home/yyyy/ftp/spamassassin/spamassassin` paths are unusual and could be used to attempt to trick a user into executing malicious commands. The lack of context and the use of specific software names (spamassassin) are concerning. While not overtly malicious, the technical details and unusual paths raise a significant red flag. It's likely a test or a misconfiguration, but the format is suspicious. The content isn't a standard communication, and it requests information about software setup, making it potentially a phishing attempt targeting system administrators or those involved in email security."
3016,1,False,Medium,"The email discusses financial figures and potential employment offers, seemingly related to a business project. There are multiple recipients and a clear subject line referencing specific amounts and individuals. While the content is somewhat informal, it lacks any overtly suspicious elements such as urgent requests, unusual links, or attempts to manipulate the recipient. The language is consistent with internal corporate communications. There is no immediate indication of phishing. However, the lack of a formal sender address and the somewhat chaotic nature of the message warrants caution. It's a business-related email, but requires further investigation to confirm its legitimacy. Considering the potential for financial manipulation and the absence of a formal sender, it's flagged as potentially suspicious."
1247,0,True,High,"This email exhibits multiple highly suspicious characteristics. The text is completely nonsensical and appears to be random characters and words, likely generated by a bot. The fragmented phrasing and unusual use of characters strongly suggest a phishing attempt designed to cause confusion and potentially lead the recipient to a malicious website. The instruction to 'learn more here' is a classic phishing tactic. The lack of any legitimate sender information or context further reinforces the high risk."
9962,0,True,High,"This email exhibits several strong indicators of a phishing attempt. Firstly, the offer of search engine submissions for a low monthly fee ($29.95) is a common tactic used by scammers. Secondly, the inclusion of a toll-free number (888-892-7537) is a red flag, as legitimate businesses typically use regular phone numbers. Thirdly, the email includes a 'remove' function with a conflicting number to call, which is designed to confuse and potentially trick the recipient into providing information or clicking a malicious link. The overall tone and urgency are designed to pressure the recipient into action. While the email presents itself as a legitimate service, the combination of these factors raises significant concerns about a phishing scam."
10623,1,True,High,"This email exhibits multiple red flags indicative of a phishing attempt. The language is overly formal and urgent ('please grant access', 'has been submitted for your processing'). The request for immediate action through a mouse click on a 'notes document link' is a common tactic to lure users to a malicious website designed to steal credentials. The reference to 'kker - 4 r 3 klb' is completely arbitrary and designed to appear legitimate while lacking any context. The entire email lacks any identifiable sender information beyond a generic request, which is highly suspicious. The phrase 'security resource line item request' is a common phishing tactic to impersonate a legitimate IT or security system."
2437,0,True,High,"This email exhibits multiple strong indicators of a phishing attempt. Firstly, it aggressively promotes a speculative stock (VCSC) with inflated price projections, a classic tactic used in pump-and-dump schemes. Secondly, it contains numerous grammatical and spelling errors, inconsistent capitalization, and unusual phrasing ('forward looking statements', 'projecting speculative price', 'voi communication', etc.), suggesting a lack of professionalism and potentially a fabricated source. Thirdly, it includes multiple URLs, including a Yahoo Finance link, and pressure to 'check out the breaking news'. Fourthly, the email contains a disclaimer attempting to mask the conflict of interest related to owning shares in the company. Fifthly, the presence of a 'forward looking statements' section, while technically correct, is being used to manipulate the reader. Sixthly, the email claims a payment of $49,000 was made to send the report, a highly suspicious detail. The overall structure and content are designed to create a sense of urgency and mislead the recipient into believing they're receiving valuable investment advice. The multiple URLs and inconsistent formatting are all hallmarks of a deceptive email."
2041,0,True,High,"This email exhibits multiple red flags indicative of a phishing attempt. The subject line immediately suggests a sale of a controlled substance (Viagra), a highly illegal and often associated with fraudulent activities. The email uses sensationalized language ('quick, cheap, convenient') and an unrealistic guarantee ('100% satisfaction money back guarantee'). The inclusion of a vaguely philosophical quote is a common tactic to appear legitimate and distract the recipient. The URL is not provided, but the content strongly suggests a malicious link would lead to a fraudulent website selling illicit goods. The combination of these elements points to a deliberate attempt to lure victims into a scam."
1330,1,True,High,"The email content is 'empty'. This is a highly suspicious indicator. Phishing emails often contain no legitimate content, relying entirely on tricking the recipient into clicking a link or providing information. The lack of any text whatsoever suggests a deliberate attempt to bypass security filters or create a sense of urgency (as the recipient might instinctively investigate an empty email). This represents a critical breach of standard email practices and a strong indicator of malicious intent."
