Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,True,High,"The email contains a highly unusual and nonsensical date format ('12/29/01') repeated multiple times, combined with technical jargon and log messages that suggest a system error. This is a classic tactic used in phishing emails to mimic legitimate system notifications and trick recipients into clicking a malicious link or providing information."
17749,1,ERROR,ERROR,Failed after max retries
11199,1,False,Low,"The email appears to be a legitimate academic call for papers. While it contains some unusual phrasing and formatting, the provided contact information (email addresses and phone numbers) are valid and associated with the listed institutions. The request for an abstract and submission deadline is standard for academic conferences. There are no immediately obvious red flags like urgent requests for financial information or suspicious links."
7660,0,True,High,"This email exhibits multiple classic phishing indicators: a sense of urgency ('no more red light tickets!'), a ridiculously high guarantee ('100% guaranteed'), a suspicious URL (dn-ice-boat.com - likely a typo), and a completely nonsensical and grammatically incorrect message filled with random words and characters. These elements strongly suggest a fraudulent attempt to deceive the recipient."
12737,1,False,Low,"The email appears to be a technical discussion about SpamAssassin configuration settings. While it includes a link to Dice, it's presented within a context of a legitimate IT discussion and is likely a sponsored link rather than a direct phishing attempt. The 'Rot13'ed' message and the mention of MIMEDefang are relevant to spam filtering, but don't inherently indicate a malicious intent."
190,0,True,High,"This email exhibits multiple classic phishing indicators: a convoluted and unbelievable story involving a deceased former president, a large sum of money, a request for assistance in transferring funds, and demands for personal contact information (phone numbers, fax numbers). The use of 'Tamko Mobutu' and the reference to a security company are designed to build trust and appear legitimate. The urgency and promise of a '100% risk-free' deal are also red flags. The email's origin (sf.net) and the included Jabber sponsorship further contribute to the suspicious nature."
11308,1,ERROR,ERROR,Failed after max retries
13809,1,True,High,"The email uses urgent, vaguely worded language ('meter 6387 - dec 00 deal') combined with a seemingly random deal number (#565701). This is a classic tactic to pressure recipients into clicking a malicious link or providing information. The subject line is also misleading and designed to create a sense of urgency."
12409,1,ERROR,ERROR,Failed after max retries
11526,0,True,High,"The email contains a highly suspicious subject line with a random, nonsensical technical specification ('6 . 3 megapixel') and an exclamation mark, combined with a generic offer. This is a classic tactic used in phishing emails to lure recipients into clicking a malicious link or downloading a harmful attachment."
576,1,True,High,The email subject line 'empty' is extremely suspicious and lacks any context or sender information. This is a classic indicator of phishing emails designed to lure recipients into clicking malicious links or attachments.
15061,1,True,High,"The email exhibits multiple phishing indicators: unsolicited investment offers, requests for significant financial investment ($50,000), mentions of a 'muni desk' call, and a generic closing with a request to 'call me with any questions.' The use of 'Julie' is also a common tactic to appear legitimate. The specific bond details, while seemingly detailed, are a red flag – legitimate investment recommendations rarely present such specific bond details in an unsolicited email.  The urgency implied by 'these are subject to change' is also a manipulation tactic."
17179,0,True,High,"The email exhibits multiple classic phishing indicators: overly enthusiastic claims of rapid weight loss (19% total body weight, etc.), a generic greeting, a suspicious URL (baby33.com - likely a domain designed to mimic a legitimate one), and a promise of a 'special offer' without any established relationship. The use of 'adipren 720' is also a red flag, as it's likely a fabricated product name."
2638,1,True,High,The email uses a deliberately misspelled and unusual restaurant name ('Lagrasta') combined with a generic invitation ('let's go to dinner'). This is a classic tactic used in phishing emails to lure recipients into clicking malicious links or providing personal information.
7934,0,True,High,"This email exhibits multiple classic phishing indicators: a nonsensical string of words and brand names (Vigara, Super Viagra, etc.) with no coherent message, urgent claims of savings, and generic calls to 'click here'. The overwhelming use of unrelated terms is a strong indicator of a deliberately confusing and deceptive email designed to trick the recipient into clicking a malicious link."
4126,1,True,High,The email subject line 'empty' is extremely suspicious and lacks any context or sender information. This is a classic indicator of phishing emails designed to lure recipients into clicking malicious links or attachments.
2372,0,True,High,"This email exhibits multiple classic phishing indicators: a generic greeting, an unsolicited offer of a large database, a request for sensitive information (credit card details) via fax, an unusual removal email address (yahoo.com with a random string), and a call to action to fax a form. The language is overly promotional and uses urgency ('This month only $79'). The request for the email address is also suspicious, as it's presented as a targeted email address."
12652,1,True,High,"Several red flags indicate a phishing attempt: the email uses urgent language ('immediately'), requests sensitive information (application materials), includes a generic greeting, and employs a suspicious email address (mcm @ gizmo . usc . edu) which is unlikely to be a legitimate USC email domain. The offer of a high salary ($28,000) for a postdoc is also a common tactic."
11904,0,ERROR,ERROR,Failed after max retries
2270,0,True,High,"Numerous red flags including misspelled words ('offce', 'wlndows', 'dyne'), unusual characters (*, $, !, ), generic greeting ('confirm your account'), a suspicious offer for 'legal operating systems', a request not to reply directly, and a bizarrely formatted and irrelevant 'rotarian' note. The email address 'zacrek @ freedomnet . com' is also highly suspect."
16883,1,ERROR,ERROR,Failed after max retries
4797,1,False,Low,"This email is a lengthy discussion about economics and social issues, not a phishing attempt. It contains a PGP signature for authentication, but the content itself doesn't exhibit typical phishing characteristics like requests for personal information, suspicious links, or urgent calls to action."
14672,1,ERROR,ERROR,Failed after max retries
6723,1,True,High,"The email uses vague and unusual phrasing ('lunch with it and credit'), demands a 'body count' (likely for gathering contact information), and requests a reservation, all common tactics in phishing attempts to pressure the recipient into providing sensitive details or clicking a malicious link."
4508,1,False,Low,"The email appears to be a legitimate academic invitation to a symposium. While it contains some unusual phrasing (e.g., 'rime tables'), it lacks typical phishing indicators like urgent requests for personal information, suspicious links, or impersonation of a known entity. The details provided – university name, speakers, and submission instructions – align with a real academic event. The mention of tonal indications is a specific requirement related to the topic, further suggesting a genuine scholarly context."
11569,0,True,High,"This email exhibits multiple strong phishing indicators. It uses a deceptive subject line, a generic greeting ('attn: marketing department'), requests for personal information (company details, contact coordinates), includes fabricated project details with unusual technologies and outdated software versions (Microsoft Visual Basic 6.0, Oracle 8.0, Access 97), and employs a 'do not reply' instruction followed by a request to reply in the body of the message. The email also contains a suspicious domain (fazekas.hu) and a strange reference to a 'mailing list' (avfs mailing list) which is often used in phishing attempts. The overall tone and content are designed to lure the recipient into providing information or engaging in a fraudulent transaction."
